"Format","AiM CSV File"
"Session","Aravete"
"Vehicle","20 - Parolin Kart TM 60 2022"
"Racer","Ralf Rahkema"
"Championship","EMV4"
"Comment","76b hammakas 0.70 rohk v
istlus mootor"
"Date","Saturday, July 13, 2024"
"Time","10:49 AM"
"Sample Rate","20"
"Duration","616"
"Segment","Session"
"Beacon Markers","19.567","71.203","145.172","199.835","252.853","302.479","351.487","401.029","449.803","498.588","547.255","616"
"Segment Times","0:19.567","0:51.636","1:13.969","0:54.663","0:53.018","0:49.626","0:49.008","0:49.542","0:48.774","0:48.785","0:48.667","1:08.745"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","External Voltage","Exhaust Temp","Internal Battery","RPM"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg","V","°C","V","rpm"

"0.000","0.1138","16","0.0000","0.0000","-3.4361","121.1251","0.0000","112.5398","4.8000","0.1000","10000.0000","59.12409887","25.74595275","15.6","37.1","0.0","0"
"0.050","0.0854","16","0.0000","0.0000","-0.9362","-20.9289","0.0000","112.5348","4.8000","0.1025","10000.0000","59.12409890","25.74595255","15.6","37.1","0.0","0"
"0.100","0.3159","16","0.0000","0.0000","-0.8471","-88.5743","0.0000","112.5290","4.8000","0.1100","10000.0000","59.12409885","25.74595240","15.6","37.0","0.0","0"
"0.150","0.2691","16","0.0000","0.0000","6.5734","-113.7476","0.0000","112.5297","4.7250","0.1100","10000.0000","59.12409884","25.74595224","15.6","37.0","0.0","0"
"0.200","0.1764","16","0.0000","0.0000","6.7776","179.2477","0.0000","112.5313","4.7000","0.1000","10000.0000","59.12409882","25.74595236","15.6","37.0","0.0","0"
"0.250","0.1604","16","0.0000","0.0000","5.7516","127.8860","0.0000","112.5313","4.7000","0.1000","10000.0000","59.12409882","25.74595236","15.6","37.0","0.0","937"
"0.300","0.2203","16","0.0000","0.0000","0.0832","93.5946","0.0000","112.5267","4.7000","0.1050","10000.0000","59.12409889","25.74595243","15.6","37.0","0.0","1230"
"0.350","0.1850","16","0.0000","0.0000","-1.9503","34.4956","0.0000","112.5204","4.7000","0.1100","10000.0000","59.12409898","25.74595239","15.6","37.0","0.0","1264"
"0.400","0.0360","16","0.0000","0.0000","-27.5307","29.3316","0.0000","112.5199","4.7000","0.1100","10000.0000","59.12409899","25.74595235","15.6","37.1","0.0","1312"
"0.450","0.0285","16","0.0000","0.0000","0.8590","-14.7187","0.0000","112.5198","4.7000","0.1025","10000.0000","59.12409904","25.74595220","15.6","37.6","0.0","1476"
"0.500","0.0929","16","0.0000","0.0000","-4.7221","-63.1944","0.0000","112.5219","4.7000","0.1100","10000.0000","59.12409905","25.74595220","15.6","38.2","0.0","1420"
"0.550","0.0784","16","0.0000","0.0000","-4.4918","0.2769","0.0000","112.5176","4.7000","0.1025","10000.0000","59.12409903","25.74595220","15.6","38.8","0.0","1444"
"0.600","0.0000","16","0.0000","0.0000","0.0000","0.0000","0.0000","112.5176","4.7000","0.1000","10000.0000","59.12409903","25.74595220","15.6","39.5","0.0","1423"
"0.650","0.1836","16","0.0000","0.0000","0.9180","-91.6313","0.0000","112.5102","4.7000","0.1100","10000.0000","59.12409914","25.74595207","15.6","40.3","0.0","1378"
"0.700","0.1166","16","0.0000","0.0000","5.7189","-131.9070","0.0000","112.5086","4.7000","0.1050","10000.0000","59.12409916","25.74595196","15.6","41.1","0.0","1481"
"0.750","0.1175","16","0.0000","0.0000","-2.6261","23.0965","0.0000","112.5102","4.7000","0.1075","10000.0000","59.12409914","25.74595207","15.6","41.9","0.0","1931"
"0.800","0.1650","16","0.0000","0.0000","-6.8275","51.0589","0.0000","112.5086","4.7000","0.1100","10000.0000","59.12409916","25.74595196","15.7","42.7","0.0","1966"
"0.850","0.0731","16","0.0000","0.0000","6.9294","106.4372","0.0000","112.5108","4.7000","0.1075","10000.0000","59.12409913","25.74595211","15.7","43.4","0.0","1983"
"0.900","0.0997","16","0.0000","0.0000","24.0737","141.7041","0.0000","112.5151","4.7000","0.1000","10000.0000","59.12409915","25.74595211","15.7","44.3","0.0","2274"
"0.950","0.0839","16","0.0000","0.0000","9.0953","19.6134","0.0000","112.5142","4.7000","0.1000","10000.0000","59.12409925","25.74595205","15.7","45.5","0.0","2379"
"1.000","0.0882","16","0.0000","0.0000","-1.1643","-33.9323","0.0000","112.5017","4.7000","0.1000","10000.0000","59.12409926","25.74595188","15.7","46.7","0.0","2488"
"1.050","0.1754","16","0.0000","0.0000","-1.2758","-0.4589","0.0000","112.5034","4.7000","0.1000","10000.0000","59.12409924","25.74595199","15.7","47.9","0.0","2583"
"1.100","0.0360","16","0.0000","0.0000","-6.4402","-33.7570","0.0000","112.5017","4.7000","0.1000","10000.0000","59.12409926","25.74595188","15.7","49.2","0.0","2676"
"1.150","0.0382","16","0.0000","0.0000","12.1978","13.9957","0.0000","112.5047","4.7000","0.1000","10000.0000","59.12409935","25.74595193","15.7","50.8","0.0","2769"
"1.200","0.1836","16","0.0000","0.0000","-2.8812","-62.1716","0.0000","112.5081","4.7000","0.1100","10000.0000","59.12409934","25.74595172","15.7","52.4","0.0","2862"
"1.250","0.1901","16","0.0000","0.0000","0.0609","-40.3522","0.0000","112.4949","4.7000","0.1000","10000.0000","59.12409937","25.74595179","15.8","54.1","0.0","2794"
"1.300","0.1586","16","0.0000","0.0000","-9.0223","4.1651","0.0000","112.4914","4.6500","0.1000","10000.0000","59.12409942","25.74595175","15.8","56.2","0.0","2760"
"1.350","0.2548","16","0.0000","0.0000","-5.0134","71.3578","0.0000","112.4862","4.6000","0.1075","10000.0000","59.12409950","25.74595189","15.8","58.4","0.0","2780"
"1.400","0.4105","16","0.0000","0.0000","-6.1895","79.5496","0.0000","112.4793","4.6000","0.1200","10000.0000","59.12409943","25.74595210","15.8","60.7","0.0","2863"
"1.450","0.2693","16","0.0000","0.0000","-4.5204","11.9541","0.0000","112.4775","4.6000","0.1075","10000.0000","59.12409950","25.74595192","15.8","62.9","0.0","2924"
"1.500","0.2679","16","0.0000","0.0000","-3.8207","-25.5796","0.0000","112.4745","4.6000","0.1000","10000.0000","59.12409959","25.74595186","15.8","65.1","0.0","2907"
"1.550","0.1364","16","0.0000","0.0000","-6.2059","-7.5879","0.0000","112.4801","4.6000","0.1000","10000.0000","59.12409955","25.74595181","15.8","67.3","0.0","2874"
"1.600","0.3724","16","0.0000","0.0000","-0.5068","16.9109","0.0000","112.4741","4.6000","0.1100","10000.0000","59.12409968","25.74595194","15.8","69.5","0.0","2899"
"1.650","0.4988","16","0.0000","0.0000","-2.0067","12.8415","0.0000","112.4805","4.6000","0.1100","10000.0000","59.12409976","25.74595178","15.8","71.7","0.0","2906"
"1.700","0.3138","16","0.0000","0.0000","-2.2838","14.6732","0.0000","112.4805","4.6000","0.1100","10000.0000","59.12409976","25.74595178","15.8","73.7","0.0","2929"
"1.750","0.3078","16","0.0000","0.0000","0.4257","32.0871","0.0000","112.4851","4.6000","0.1100","10000.0000","59.12409982","25.74595196","15.8","75.6","0.0","2907"
"1.800","0.4568","16","0.0000","0.0000","2.3085","31.2638","0.0000","112.4953","4.6000","0.1100","10000.0000","59.12409989","25.74595202","15.8","77.4","0.0","2854"
"1.850","0.5984","16","0.0000","0.0000","5.6052","35.4139","0.0000","112.5065","4.6000","0.1100","10000.0000","59.12409994","25.74595215","15.8","79.3","0.0","2867"
"1.900","0.6365","16","0.0000","0.0000","5.8648","19.9783","0.0000","112.5098","4.6000","0.1100","10000.0000","59.12410011","25.74595213","15.8","81.1","0.0","2868"
"1.950","0.6992","16","0.0000","0.0000","6.7104","5.3504","0.0000","112.5066","4.6000","0.1100","10000.0000","59.12410024","25.74595211","15.8","82.8","0.0","2904"
"2.000","0.8170","16","0.0000","0.0000","4.4791","-8.6229","0.0000","112.5113","4.6000","0.1100","10000.0000","59.12410035","25.74595193","15.8","84.7","0.0","2902"
"2.050","0.9019","16","0.0000","0.0000","4.0869","-13.0677","0.0000","112.5065","4.6000","0.1100","10000.0000","59.12410046","25.74595194","15.8","86.6","0.0","2848"
"2.100","0.8691","16","0.0000","0.0000","4.2991","-22.0973","0.0000","112.5093","4.6000","0.1100","10000.0000","59.12410064","25.74595169","15.8","88.5","0.0","2869"
"2.150","0.9079","16","-0.0149","0.0498","3.5404","-19.5306","0.0000","112.5090","4.6000","0.1100","10000.0000","59.12410073","25.74595167","15.8","90.3","0.0","2888"
"2.200","1.2692","16","-0.0051","0.0554","3.1209","-16.1515","0.0000","112.5028","4.6000","0.1100","10000.0000","59.12410100","25.74595152","15.8","91.9","0.0","2906"
"2.250","1.4144","16","0.0215","0.0591","2.2682","-22.0535","0.0000","112.4984","4.6000","0.1100","10000.0000","59.12410119","25.74595126","15.8","93.6","0.0","2890"
"2.300","1.3512","16","0.0376","0.0627","1.5428","-18.8183","0.0000","112.4888","4.6000","0.1150","10000.0000","59.12410129","25.74595124","15.8","95.4","0.0","2854"
"2.350","1.1877","16","0.0434","0.0654","2.1299","-16.6825","0.0000","112.4985","4.6000","0.1200","10000.0000","59.12410150","25.74595122","15.8","97.3","0.0","2931"
"2.400","1.7978","16","0.0254","0.0900","2.4382","-10.4898","0.0000","112.5046","4.6000","0.1200","10000.0000","59.12410185","25.74595103","15.8","99.3","0.0","2963"
"2.450","2.0061","16","0.0092","0.1037","2.4801","-5.2385","0.0000","112.5037","4.6000","0.1200","10000.0000","59.12410212","25.74595107","15.8","101.3","0.0","2950"
"2.500","1.9542","16","-0.0090","0.1099","2.1958","-4.4025","0.0000","112.5062","4.6000","0.1200","10000.0000","59.12410235","25.74595114","15.8","103.6","0.0","2964"
"2.550","2.2206","16","-0.0269","0.1178","1.1113","-9.0581","0.0000","112.5002","4.6000","0.1200","10000.0000","59.12410270","25.74595091","15.8","105.9","0.0","2962"
"2.600","2.4023","16","-0.0500","0.1156","0.4052","-17.8504","0.0000","112.4903","4.6000","0.1200","10000.0000","59.12410293","25.74595061","15.8","108.0","0.0","2951"
"2.650","2.5125","16","-0.0609","0.1177","0.8278","-18.9049","0.0000","112.4924","4.6000","0.1200","10000.0000","59.12410334","25.74595025","15.8","110.2","0.0","2949"
"2.700","2.8097","16","-0.0626","0.1151","0.9590","-18.8869","0.0000","112.4967","4.6000","0.1200","10000.0000","59.12410371","25.74595005","15.8","112.3","0.0","2947"
"2.750","3.2864","16","-0.0439","0.0878","1.2371","-20.7021","0.0000","112.5041","4.6000","0.1200","10000.0000","59.12410417","25.74594961","15.8","114.5","0.0","2952"
"2.800","3.1454","16","-0.0265","0.0664","1.0279","-21.6938","0.0000","112.4923","4.6000","0.1200","10000.0000","59.12410448","25.74594933","15.8","116.8","0.0","2953"
"2.850","3.1721","16","-0.0088","0.0478","1.4016","-22.0584","0.0000","112.5017","4.6000","0.1200","10000.0000","59.12410482","25.74594903","15.8","119.0","0.0","2967"
"2.900","3.3257","16","-0.0001","0.0670","1.9942","-22.5863","0.0000","112.5182","4.6000","0.1250","10000.0000","59.12410531","25.74594873","15.8","121.1","0.0","2973"
"2.950","3.4070","16","0.0168","0.0665","2.3945","-21.6204","0.0000","112.5382","4.6000","0.1300","10000.0000","59.12410576","25.74594837","15.8","123.1","0.0","2960"
"3.000","3.2386","16","0.0267","0.0335","1.0561","-19.2495","0.0000","112.5006","4.6000","0.1300","10000.0000","59.12410610","25.74594828","15.8","125.2","0.0","2948"
"3.050","3.4911","16","0.0386","0.0659","0.5053","-16.2900","6.1374","112.4927","4.6000","0.1200","9.0531","59.12410653","25.74594817","15.8","127.4","0.0","2938"
"3.100","3.7025","16","0.0434","0.0886","0.9686","-14.9346","24.1273","112.5028","4.6000","0.1200","2.4424","59.12410712","25.74594802","15.8","129.4","0.0","2932"
"3.150","4.1551","16","0.0426","0.0695","1.5819","-20.6322","22.6959","112.5195","4.6000","0.1200","2.9138","59.12410774","25.74594757","15.8","131.4","0.0","2949"
"3.200","4.1278","16","0.0269","0.0748","1.3181","-21.4876","13.8821","112.5202","4.6000","0.1200","4.7324","59.12410826","25.74594721","15.8","133.5","0.0","2940"
"3.250","4.1953","16","0.0236","0.0878","1.5405","-16.5313","11.8005","112.5289","4.6000","0.1200","5.6583","59.12410878","25.74594706","15.8","135.7","0.0","2935"
"3.300","4.3319","16","0.0147","0.0622","1.5782","-12.8228","7.0705","112.5299","4.6000","0.1150","9.7510","59.12410934","25.74594687","15.8","137.7","0.0","2933"
"3.350","4.3729","16","-0.0017","0.0431","1.4793","-11.5162","-0.7735","112.5210","4.6000","0.1100","89.9706","59.12410991","25.74594674","15.8","139.7","0.0","2926"
"3.400","4.4081","16","0.0186","0.0508","0.9058","-12.4995","8.5855","112.5024","4.6000","0.1100","8.1715","59.12411045","25.74594653","15.8","141.7","0.0","2923"
"3.450","4.5194","16","0.0106","0.0025","1.2958","-16.3385","4.8262","112.5127","4.6000","0.1100","14.9036","59.12411104","25.74594609","15.8","143.7","0.0","2904"
"3.500","4.0787","16","0.0004","-0.0233","1.2946","-17.9185","0.1617","112.5137","4.6000","0.1100","401.4546","59.12411142","25.74594581","15.8","145.3","0.0","2885"
"3.550","4.3686","16","-0.0134","-0.0303","1.4078","-17.3126","-6.1617","112.5290","4.6000","0.1100","11.2840","59.12411197","25.74594546","15.8","146.8","0.0","2852"
"3.600","4.7506","16","-0.0321","-0.0675","2.1700","-13.8201","-14.9060","112.5548","4.6000","0.1100","5.0724","59.12411264","25.74594516","15.8","148.1","0.0","2856"
"3.650","4.2043","16","-0.0508","-0.0814","2.1804","-14.6025","-24.3425","112.5531","4.6000","0.1100","2.7488","59.12411301","25.74594493","15.8","149.3","0.0","2895"
"3.700","4.0002","16","-0.0503","-0.0929","2.1843","-17.4233","-24.7332","112.5360","4.6000","0.1100","2.5741","59.12411344","25.74594463","15.8","150.6","0.0","2808"
"3.750","3.7665","16","-0.0187","-0.0944","1.6930","-15.9802","-9.5736","112.5253","4.6000","0.1100","6.2615","59.12411391","25.74594432","15.8","151.7","0.0","2844"
"3.800","3.4823","16","-0.0009","-0.0911","2.0332","-18.4651","-0.4803","112.5350","4.6000","0.1000","115.3870","59.12411416","25.74594395","15.8","152.6","0.0","2836"
"3.850","3.2670","16","0.0173","-0.1109","2.1700","-26.5936","0.0000","112.5349","4.5000","0.1000","10000.0000","59.12411442","25.74594343","15.8","153.3","0.0","2852"
"3.900","3.2530","16","0.0103","-0.1189","2.2212","-18.0260","0.0000","112.5361","4.5000","0.1000","10000.0000","59.12411493","25.74594331","15.8","154.0","0.0","2847"
"3.950","2.8727","16","-0.0144","-0.1255","3.1255","-17.3376","0.0000","112.5493","4.5000","0.1075","10000.0000","59.12411526","25.74594312","15.8","154.7","0.0","2819"
"4.000","2.9337","16","-0.0254","-0.1223","3.2746","-16.6303","0.0000","112.5594","4.5000","0.1100","10000.0000","59.12411554","25.74594283","15.8","155.3","0.0","2810"
"4.050","3.1451","16","-0.0065","-0.0441","2.5181","-17.4554","0.0000","112.5448","4.5000","0.1075","10000.0000","59.12411602","25.74594260","15.8","155.9","0.0","2806"
"4.100","2.6846","16","-0.0021","-0.0205","3.5835","-16.7962","0.0000","112.5517","4.5000","0.1000","10000.0000","59.12411627","25.74594238","15.8","156.5","0.0","2816"
"4.150","2.3074","16","-0.0206","-0.0496","4.1184","-18.7963","0.0000","112.5574","4.5000","0.1000","10000.0000","59.12411640","25.74594222","15.8","157.3","0.0","2840"
"4.200","2.1842","16","-0.0246","-0.0221","4.9340","-17.8789","0.0000","112.5693","4.5000","0.1000","10000.0000","59.12411662","25.74594210","15.8","158.1","0.0","2842"
"4.250","2.4570","16","-0.0016","-0.0054","4.4724","-26.6331","0.0000","112.5731","4.5000","0.1000","10000.0000","59.12411700","25.74594166","15.8","158.8","0.0","2845"
"4.300","2.7238","16","-0.0201","-0.0197","4.2583","-28.0325","0.0000","112.5773","4.5000","0.1000","10000.0000","59.12411728","25.74594115","15.8","159.7","0.0","2864"
"4.350","2.8728","16","-0.0229","-0.0134","3.8335","-22.6797","0.0000","112.5663","4.5000","0.1000","10000.0000","59.12411767","25.74594092","15.8","160.8","0.0","2840"
"4.400","2.7469","16","0.0311","0.0191","3.1069","-16.6934","0.0000","112.5524","4.5000","0.1000","10000.0000","59.12411792","25.74594089","15.8","161.9","0.0","2865"
"4.450","2.2132","16","0.0303","0.0128","4.9951","-19.2465","0.0000","112.5642","4.5000","0.1000","10000.0000","59.12411818","25.74594062","15.8","163.0","0.0","2876"
"4.500","2.2916","16","0.0384","0.0332","5.4747","-18.6544","0.0000","112.5772","4.5000","0.1000","10000.0000","59.12411842","25.74594042","15.8","163.9","0.0","2911"
"4.550","2.8171","16","0.0390","0.0233","4.4405","-15.5415","0.0000","112.5798","4.4250","0.1000","10000.0000","59.12411882","25.74594009","15.8","164.7","0.0","2876"
