"Format","AiM CSV File"
"Session","Aravete"
"Vehicle","20 - Parolin Kart TM 60 2022"
"Racer","Ralf Rahkema"
"Championship","EMV1"
"Comment","77 hammakas rõühk 0.77"
"Date","Saturday, July 13, 2024"
"Time","9:00 AM"
"Sample Rate","20"
"Duration","470"
"Segment","Session"
"Beacon Markers","5.497","57.869","107.67","156.923","207.86","256.755","306.001","355.16","404.799","470"
"Segment Times","0:05.497","0:52.372","0:49.801","0:49.253","0:50.937","0:48.895","0:49.246","0:49.159","0:49.639","1:05.201"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","External Voltage","Exhaust Temp","Internal Battery","RPM"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg","V","°C","V","rpm"

"0.000","22.3659","15","0.0000","0.0000","-3.9090","-31.7932","0.0000","104.0569","18.3000","0.1900","10000.0000","59.12434780","25.74549252","16.0","233.0","0.0","3406"
"0.050","22.3503","15","0.3795","-0.0050","-3.9094","-30.4170","34.4063","104.0523","18.1500","0.1825","10.3387","59.12434944","25.74549066","16.0","233.6","0.0","3416"
"0.100","22.1119","15","0.5091","-0.1569","-3.9547","-28.1100","46.2058","104.0841","17.8000","0.1900","7.6164","59.12435211","25.74548773","16.0","234.5","0.0","3478"
"0.150","21.9185","15","0.5416","-0.0950","-4.0461","-25.6615","49.8047","104.1032","17.5500","0.2050","7.0042","59.12435493","25.74548536","16.0","235.1","0.0","3525"
"0.200","21.9044","15","0.6120","0.0097","-4.1829","-22.7719","56.6568","104.1339","17.3000","0.2350","6.1532","59.12435784","25.74548311","16.0","235.9","0.0","3484"
"0.250","22.1998","15","0.3740","0.2079","-4.1081","-20.8772","34.6231","104.1561","17.0500","0.2275","10.2048","59.12436087","25.74548085","16.0","236.5","0.0","3492"
"0.300","22.2394","14","0.5659","-0.0274","-4.0907","-18.5258","51.4919","104.1714","16.8000","0.2000","6.8739","59.12436392","25.74547903","16.0","236.9","0.0","3503"
"0.350","21.9774","15","0.7837","-0.1196","-4.0431","-14.9017","71.6709","104.2449","16.5500","0.2225","4.8804","59.12436697","25.74547797","16.0","237.0","0.0","3539"
"0.400","21.8110","15","0.7035","-0.1010","-3.9812","-11.7092","64.9356","104.3095","16.2500","0.2300","5.3458","59.12437007","25.74547698","16.0","237.1","0.0","3573"
"0.450","21.7507","15","0.8716","0.0398","-3.9415","-7.7488","81.4203","104.3755","15.9500","0.2225","4.2517","59.12437314","25.74547641","16.0","237.1","0.0","3717"
"0.500","22.1634","15","0.6696","0.2826","-3.8302","-4.4040","62.3431","104.4230","15.7000","0.2000","5.6581","59.12437624","25.74547603","16.0","237.1","0.0","3638"
"0.550","22.6028","15","0.4647","0.1696","-3.9319","-2.0629","42.3953","104.4760","15.4500","0.1850","8.4852","59.12437960","25.74547584","16.0","237.4","0.0","3628"
"0.600","22.5597","15","0.4062","-0.0787","-3.9754","-0.1744","36.8100","104.5307","15.2000","0.1600","9.7541","59.12438275","25.74547577","16.0","237.5","0.0","3557"
"0.650","22.2067","14","0.5015","0.0477","-3.8954","1.3438","45.5723","104.5694","15.0250","0.1425","7.7554","59.12438576","25.74547594","16.0","237.5","0.0","3531"
"0.700","22.2950","14","0.4828","0.0854","-3.8331","3.4198","43.7346","104.6090","14.8000","0.1300","8.1134","59.12438884","25.74547607","16.0","237.6","0.0","3541"
"0.750","22.2396","14","0.4313","0.0912","-3.8851","4.7309","38.8294","104.6200","14.5750","0.1200","9.1156","59.12439160","25.74547655","16.0","237.6","0.0","3513"
"0.800","22.6109","15","0.4130","0.0533","-3.9494","7.5888","36.9372","104.5965","14.4000","0.1150","9.7426","59.12439453","25.74547741","16.0","237.9","0.0","3436"
"0.850","22.9466","15","0.4572","0.0026","-3.8942","10.4385","40.7565","104.5839","14.2250","0.1100","8.9607","59.12439757","25.74547874","16.0","238.2","0.0","3428"
"0.900","23.0630","15","0.5001","-0.0208","-3.9831","12.4957","44.6033","104.5760","14.1000","0.1200","8.2294","59.12440053","25.74548000","16.0","238.1","0.0","3466"
"0.950","22.8910","15","0.5290","-0.0192","-3.9609","14.2905","47.2882","104.5780","13.9750","0.1200","7.7043","59.12440338","25.74548161","16.0","238.1","0.0","3499"
"1.000","23.0166","15","0.5159","0.0103","-3.8565","17.3737","46.2001","104.6110","13.7750","0.1200","7.9290","59.12440800","25.74548441","16.0","238.1","0.0","3452"
"1.050","22.9024","15","0.4949","0.0218","-3.8044","18.8663","44.3021","104.6337","13.6500","0.1150","8.2277","59.12441086","25.74548632","16.0","238.1","0.0","3543"
"1.100","22.5315","15","0.4951","0.0125","-3.8028","20.7735","44.2589","104.6504","13.5250","0.1100","8.1023","59.12441354","25.74548841","16.0","238.1","0.0","3474"
"1.150","21.6365","15","0.4792","0.0028","-3.6685","23.6200","42.8222","104.6872","13.4000","0.1400","8.0415","59.12441600","25.74549081","16.0","238.1","0.0","3527"
"1.200","22.4983","15","0.4596","0.0301","-3.3314","26.3314","41.0620","104.7069","13.2750","0.1475","8.7203","59.12441850","25.74549366","16.0","238.4","0.0","3520"
"1.250","23.0342","15","0.4628","0.0566","-3.2487","27.7425","41.2477","104.7154","13.1500","0.1350","8.8878","59.12442109","25.74549643","16.0","238.5","0.0","3496"
"1.300","23.1589","15","0.4991","0.0870","-3.0685","28.5524","44.3060","104.7338","13.1000","0.1300","8.3191","59.12442365","25.74549915","16.0","238.8","0.0","3479"
"1.350","23.2047","15","0.5413","0.1000","-2.9591","30.8627","47.7510","104.7612","13.0000","0.1300","7.7342","59.12442608","25.74550230","16.0","239.0","0.0","3599"
"1.400","23.4730","15","0.5748","0.0806","-2.9237","34.3659","50.3624","104.7687","12.9000","0.1250","7.4179","59.12442838","25.74550585","16.0","239.2","0.0","3679"
"1.450","23.4814","15","0.6177","0.0736","-2.9338","37.2174","53.8344","104.7854","12.8500","0.1100","6.9420","59.12443053","25.74550946","16.0","239.4","0.0","3764"
"1.500","23.3535","15","0.6568","0.0837","-2.9831","39.6448","56.9777","104.7954","12.7250","0.1100","6.5233","59.12443266","25.74551335","16.0","239.8","0.0","3676"
"1.550","23.4434","15","0.6753","0.1142","-2.9490","42.0667","58.2706","104.8167","12.6000","0.1100","6.4031","59.12443470","25.74551733","16.0","239.9","0.0","3751"
"1.600","23.6480","15","0.6737","0.0768","-2.9493","46.7759","57.7269","104.8271","12.5750","0.1100","6.5198","59.12443647","25.74552205","16.0","240.0","0.0","3748"
"1.650","23.7714","15","0.6679","0.0829","-2.9123","49.5996","56.9713","104.8277","12.4500","0.1050","6.6408","59.12443821","25.74552669","16.0","240.0","0.0","3811"
"1.700","24.0373","15","0.6130","0.1373","-2.9228","51.4532","52.0206","104.8378","12.3250","0.1000","7.3541","59.12444007","25.74553139","16.0","239.8","0.0","3717"
"1.750","24.3595","15","0.5206","0.1635","-2.9251","53.4258","43.7596","104.8489","12.2000","0.1000","8.8596","59.12444191","25.74553637","16.0","239.6","0.0","3747"
"1.800","24.7917","15","0.4457","0.1433","-2.9790","55.0385","37.0512","104.8470","12.1750","0.1000","10.6494","59.12444373","25.74554148","16.0","239.4","0.0","3606"
"1.850","24.8758","15","0.4044","0.1224","-3.0179","56.6377","33.2888","104.8522","12.0500","0.1000","11.8932","59.12444536","25.74554660","16.0","239.2","0.0","3681"
"1.900","24.7806","15","0.3772","0.1145","-3.1619","58.3469","30.7859","104.8561","11.9250","0.1000","12.8109","59.12444688","25.74555177","16.0","238.9","0.0","3658"
"1.950","25.0237","15","0.3480","0.0956","-3.1042","60.1455","28.1872","104.8703","11.8000","0.1000","14.1292","59.12444824","25.74555707","16.0","238.8","0.0","3687"
"2.000","25.3082","15","0.3327","0.0890","-3.2454","61.6211","26.7736","104.8722","11.7000","0.1000","15.0444","59.12444965","25.74556257","16.0","238.6","0.0","3797"
"2.050","25.8293","15","0.3351","0.1090","-3.3077","62.7963","26.7994","104.8641","11.6500","0.1000","15.3394","59.12445113","25.74556825","16.0","238.6","0.0","3753"
"2.100","25.5906","15","0.3604","0.1417","-3.3441","63.8362","28.6099","104.8907","11.5250","0.1000","14.2359","59.12445248","25.74557383","16.0","238.4","0.0","3828"
"2.150","25.6704","15","0.3735","0.1496","-3.2831","65.5772","29.3740","104.9070","11.4000","0.1000","13.9088","59.12445363","25.74557968","16.0","238.2","0.0","3917"
"2.200","25.9338","15","0.3788","0.1542","-3.3436","67.3561","29.4943","104.9069","11.3750","0.1000","13.9942","59.12445495","25.74558568","16.0","238.4","0.0","4050"
"2.250","26.5942","15","0.3912","0.1612","-3.3308","68.4733","30.1477","104.9069","11.2500","0.1000","14.0395","59.12445617","25.74559199","16.0","238.8","0.0","3976"
"2.300","27.0615","14","0.4101","0.1640","-3.3519","69.8365","31.2701","104.9052","11.1250","0.1000","13.7734","59.12445742","25.74559849","16.0","238.9","0.0","4114"
"2.350","27.3432","14","0.4372","0.1562","-3.3801","71.5039","32.9872","104.9048","11.0000","0.1000","13.1924","59.12445856","25.74560517","16.0","239.5","0.0","4088"
"2.400","27.5110","14","0.4759","0.1669","-3.3789","73.3493","35.5557","104.9143","10.9750","0.1025","12.3145","59.12445969","25.74561190","16.0","240.1","0.0","4269"
"2.450","27.6083","14","0.5026","0.1945","-3.3765","75.4371","37.1564","104.9254","10.8500","0.1100","11.8257","59.12446062","25.74561876","16.0","240.9","0.0","4300"
"2.500","27.7831","14","0.5097","0.2090","-3.3973","77.6914","37.2279","104.9383","10.8000","0.1100","11.8777","59.12446152","25.74562573","16.0","242.0","0.0","4325"
"2.550","28.0421","14","0.5083","0.2063","-3.4336","79.3062","36.6580","104.9557","10.7000","0.1100","12.1748","59.12446235","25.74563282","16.0","243.0","0.0","4351"
"2.600","28.6515","14","0.5018","0.1804","-3.4241","80.6724","35.7438","104.9613","10.5750","0.1000","12.7575","59.12446310","25.74563998","16.0","244.2","0.0","4336"
"2.650","29.1112","14","0.4978","0.1837","-3.4449","82.5451","35.0848","104.9628","10.5000","0.1000","13.2057","59.12446373","25.74564747","16.0","245.6","0.0","4457"
"2.700","29.6304","14","0.4902","0.2051","-3.3651","84.4203","34.1733","104.9746","10.4250","0.1000","13.7997","59.12446421","25.74565507","16.0","246.9","0.0","4423"
"2.750","29.9166","14","0.4701","0.2152","-3.3417","86.1513","32.3831","104.9995","10.3000","0.1000","14.7033","59.12446466","25.74566260","16.0","248.4","0.0","4482"
"2.800","30.1687","14","0.4677","0.2129","-3.3700","87.5936","31.8093","105.0030","10.2750","0.1000","15.0946","59.12446501","25.74567032","16.0","249.9","0.0","4553"
"2.850","30.1357","14","0.4997","0.2030","-3.4766","89.0542","33.5688","105.0114","10.1500","0.1000","14.2878","59.12446519","25.74567790","16.0","251.6","0.0","4674"
"2.900","30.5462","14","0.5391","0.1888","-3.4933","90.8691","35.8068","105.0167","10.1000","0.1075","13.5772","59.12446528","25.74568570","16.0","253.5","0.0","4708"
"2.950","31.1319","14","0.5720","0.1836","-3.4673","92.4727","37.6083","105.0202","10.0000","0.1100","13.1747","59.12446523","25.74569359","16.0","255.5","0.0","4821"
"3.000","31.5204","14","0.5805","0.1929","-3.4686","94.5090","37.7860","105.0074","9.9000","0.1100","13.2764","59.12446485","25.74570159","16.0","257.2","0.0","4866"
"3.050","31.8670","14","0.5705","0.2110","-3.4148","96.8055","36.7439","105.0045","9.8500","0.1100","13.8031","59.12446441","25.74570958","16.0","259.5","0.0","4934"
"3.100","32.0921","14","0.5513","0.2328","-3.4072","98.6613","35.1054","104.9764","9.8000","0.1100","14.5494","59.12446370","25.74571746","16.0","261.5","0.0","4945"
"3.150","32.5746","14","0.5409","0.2491","-3.3929","100.0686","34.0127","104.9494","9.7000","0.1100","15.2426","59.12446297","25.74572543","16.0","263.8","0.0","4960"
"3.200","33.1357","14","0.5129","0.2626","-3.3895","102.0616","31.8286","104.9276","9.6750","0.1100","16.5691","59.12446194","25.74573361","16.0","266.2","0.0","4998"
"3.250","33.3959","14","0.4725","0.2643","-3.4025","103.3523","28.9224","104.9048","9.6000","0.1100","18.3772","59.12446093","25.74574171","16.0","268.5","0.0","5054"
"3.300","33.8523","14","0.4288","0.2488","-3.3986","104.1657","25.8873","104.8836","9.5250","0.1100","20.8124","59.12445989","25.74574993","16.0","271.0","0.0","5139"
"3.350","34.3668","14","0.4045","0.2285","-3.4181","105.3134","24.1014","104.8624","9.5000","0.1100","22.6943","59.12445885","25.74575816","16.0","273.8","0.0","5188"
"3.400","34.7203","14","0.4042","0.2325","-3.3858","106.8360","23.8089","104.8555","9.4000","0.1125","23.2095","59.12445760","25.74576639","16.0","276.2","0.0","5271"
"3.450","35.1606","14","0.4006","0.2473","-3.3454","108.1153","23.3192","104.8401","9.4000","0.1200","23.9973","59.12445630","25.74577462","16.0","279.0","0.0","5312"
"3.500","35.6268","14","0.4130","0.2504","-3.3095","109.1658","23.7416","104.8349","9.3250","0.1200","23.8829","59.12445485","25.74578297","16.0","282.0","0.0","5364"
"3.550","36.0432","14","0.4491","0.2442","-3.2792","110.4056","25.4982","104.8040","9.3000","0.1200","22.4974","59.12445326","25.74579132","16.0","284.5","0.0","5469"
"3.600","36.4535","14","0.4809","0.2290","-3.2607","111.5804","26.9857","104.7689","9.2750","0.1200","21.4994","59.12445160","25.74579963","16.0","287.2","0.0","5535"
"3.650","36.6863","14","0.5144","0.2213","-3.2057","113.3076","28.5553","104.7500","9.2000","0.1200","20.4474","59.12444969","25.74580788","16.0","290.2","0.0","5596"
"3.700","37.1473","14","0.5467","0.2243","-3.1605","114.9054","30.0365","104.7298","9.2000","0.1200","19.6833","59.12444768","25.74581618","16.0","293.0","0.0","5663"
"3.750","37.6490","14","0.5551","0.2050","-3.0961","116.4291","30.1814","104.7047","9.1000","0.1200","19.8533","59.12444548","25.74582445","16.0","296.2","0.0","5731"
"3.800","38.0230","14","0.5569","0.1922","-3.0971","117.4537","29.9951","104.6914","9.1000","0.1200","20.1751","59.12444318","25.74583264","16.0","299.2","0.0","5800"
"3.850","38.2635","14","0.5866","0.1975","-3.0693","119.0755","31.3171","104.6633","9.0500","0.1200","19.4457","59.12444076","25.74584080","16.0","302.2","0.0","5843"
"3.900","38.4428","14","0.6170","0.2035","-3.0410","121.2200","32.6519","104.6490","9.0000","0.1200","18.7382","59.12443813","25.74584873","16.0","305.2","0.0","5945"
"3.950","38.8484","15","0.6186","0.2132","-3.0148","122.7653","32.4461","104.6422","9.0000","0.1200","19.0560","59.12443522","25.74585678","16.0","308.2","0.0","5924"
"4.000","39.2365","15","0.5942","0.2192","-2.9421","123.9860","30.8713","104.6467","8.9750","0.1200","20.2281","59.12443235","25.74586468","16.0","311.0","0.0","6007"
"4.050","39.6987","15","0.5823","0.2283","-2.8631","125.4397","29.9635","104.6647","8.9000","0.1200","21.0865","59.12442937","25.74587263","16.0","313.8","0.0","6105"
"4.100","40.0789","15","0.5841","0.2350","-2.7747","126.9155","29.7565","104.6896","8.9000","0.1200","21.4365","59.12442629","25.74588045","16.0","316.2","0.0","6163"
"4.150","40.2693","15","0.5962","0.2492","-2.7640","128.8556","30.0666","104.6978","8.8000","0.1100","21.3162","59.12442301","25.74588801","16.0","318.8","0.0","6191"
"4.200","41.1905","15","0.5794","0.2558","-2.6990","130.2890","28.9087","104.7084","8.8000","0.1100","22.6772","59.12441962","25.74589584","16.0","321.2","0.0","6253"
"4.250","41.4597","15","0.5571","0.2479","-2.6827","131.3779","27.4933","104.7346","8.7500","0.1100","24.0004","59.12441616","25.74590356","16.0","323.5","0.0","6371"
"4.300","41.7240","15","0.5466","0.2283","-2.6033","132.4242","26.6951","104.7706","8.7000","0.1100","24.8757","59.12441269","25.74591123","16.0","325.8","0.0","6443"
"4.350","42.1196","15","0.5600","0.2187","-2.4888","133.8292","27.0890","104.8077","8.7000","0.1200","24.7463","59.12440894","25.74591866","16.0","328.0","0.0","6441"
"4.400","42.5951","15","0.5771","0.2225","-2.3798","135.5862","27.6708","104.8472","8.6000","0.1100","24.4995","59.12440494","25.74592612","16.0","329.8","0.0","6537"
"4.450","42.9809","15","0.5700","0.2296","-2.3372","137.1389","27.0806","104.8642","8.5500","0.1100","25.2602","59.12440084","25.74593331","16.0","331.5","0.0","6557"
"4.500","43.3582","15","0.5656","0.2376","-2.2705","138.1528","26.6208","104.8877","8.5000","0.1100","25.9221","59.12439677","25.74594050","16.0","333.2","0.0","6709"
"4.550","43.4940","15","0.5720","0.2315","-2.2535","139.3781","26.6658","104.8883","8.5000","0.1100","25.9594","59.12439269","25.74594749","16.0","334.8","0.0","6700"
"4.600","43.8874","15","0.5722","0.2175","-2.1334","140.7035","26.4310","104.9305","8.4000","0.1200","26.4269","59.12438825","25.74595439","16.0","336.2","0.0","6818"
